layer_idx,filter_idx,iterations,learning_rate,tv_reg,l2_reg,final_activation,final_target_loss,final_suppression_loss,final_tv_loss,final_l2_loss,loss_reduction,grad_variation,loss_slope_lastk,loss_std_lastk,grad_mean_lastk,converged
36,30,500,0.005,0.0005,0.0,1412.833740234375,-1412.833740234375,515.891357421875,3.7138233184814453,0.0,719.02490234375,0.22024622674302788,-1.5634076129155428,90.26393725960254,3.3009119033813477,False
36,30,500,0.005,0.0005,1e-06,1412.961669921875,-1412.961669921875,515.9554443359375,3.713512420654297,7.497321605682373,719.0887451171875,0.219132643798963,-1.5646438575972945,90.33574742987855,3.2966500973701476,False
36,30,500,0.005,0.0005,1e-05,1411.7734375,-1411.7734375,515.5760498046875,3.7106943130493164,7.500880241394043,718.2798614501953,0.2184978445527223,-1.560168075613023,90.07704104802272,3.2956310534477233,False
36,30,500,0.005,0.0005,0.0001,1412.2196044921875,-1412.2196044921875,515.7119750976562,3.710811138153076,7.5002923011779785,718.5895233154297,0.21919786907940594,-1.5615753824784337,90.15839144886958,3.297940868139267,False
36,30,500,0.01,0.0,0.0,2663.100830078125,-2663.100830078125,971.9578247070312,0.0,0.0,1513.2271728515625,0.2569848265388932,-3.2545477367708116,187.90075132295866,3.4890925598144533,False
36,30,500,0.01,0.0,1e-06,2664.8896484375,-2664.8896484375,972.7025146484375,0.0,22.722278594970703,1514.271240234375,0.25802936216100514,-3.2605268843268935,188.24605016729666,3.490383992195129,False
36,30,500,0.01,0.0,1e-05,2661.451171875,-2661.451171875,971.4061279296875,0.0,22.7132568359375,1512.128921508789,0.2564535558457998,-3.247626613730528,187.5007298546058,3.486850380897522,False
36,30,500,0.01,0.0,0.0001,2663.175537109375,-2663.175537109375,971.8919677734375,0.0,22.713830947875977,1513.365463256836,0.25747697980210427,-3.254721298818603,187.91112537849625,3.489501165151596,False
36,30,500,0.01,1e-05,0.0,2663.1787109375,-2663.1787109375,972.11083984375,7.319825649261475,0.0,1513.15185546875,0.2569363734630248,-3.2566598825920354,188.0225766370136,3.488227970600128,False
36,30,500,0.01,1e-05,1e-06,2664.823974609375,-2664.823974609375,972.6568603515625,7.326073169708252,22.71477699279785,1514.2510986328125,0.2577361995726924,-3.2576479796516393,188.07950371515668,3.4908674860000612,False
36,30,500,0.01,1e-05,1e-05,2664.384765625,-2664.384765625,972.5902099609375,7.317605972290039,22.70993995666504,1513.8783111572266,0.2583298777841941,-3.257296706282403,188.05986314909077,3.4907775259017946,False
36,30,500,0.01,1e-05,0.0001,2663.726806640625,-2663.726806640625,972.2349243164062,7.316951751708984,22.721080780029297,1513.573715209961,0.25700816547367616,-3.2566277571245923,188.02100415780285,3.4876208782196043,False
36,30,500,0.01,0.0001,0.0,2664.914306640625,-2664.914306640625,972.626220703125,7.331485271453857,0.0,1514.3715057373047,0.2582612371287087,-3.257062362228001,188.0453447454266,3.4921729767322542,False
36,30,500,0.01,0.0001,1e-06,2662.046875,-2662.046875,971.6671752929688,7.319958209991455,22.719886779785156,1512.4630584716797,0.2573006331546944,-3.2530897051723167,187.8165905045071,3.4897154498100282,False
36,30,500,0.01,0.0001,1e-05,2662.34619140625,-2662.34619140625,971.6831665039062,7.323459625244141,22.722599029541016,1512.7462768554688,0.2556965559532534,-3.2521491326772916,187.7626528918609,3.4855007147789,False
36,30,500,0.01,0.0001,0.0001,2663.24169921875,-2663.24169921875,972.4561767578125,7.3248138427734375,22.717605590820312,1512.8667297363281,0.2558503583692887,-3.248694454849164,187.56217877796075,3.4849423503875734,False
36,30,500,0.01,0.0005,0.0,2662.72509765625,-2662.72509765625,971.9844970703125,7.325075626373291,0.0,1512.8212890625,0.2562228859068265,-3.2500360779893525,187.63996469636842,3.485631979703903,False
36,30,500,0.01,0.0005,1e-06,2664.27001953125,-2664.27001953125,972.4968872070312,7.319130897521973,22.723026275634766,1513.8538818359375,0.25770094075165156,-3.2583034855107216,188.11716191984155,3.4900336277484896,False
36,30,500,0.01,0.0005,1e-05,2663.966064453125,-2663.966064453125,972.637939453125,7.317687511444092,22.721786499023438,1513.4085845947266,0.256987999590158,-3.255877600400703,187.97742681680492,3.488071925640106,False
36,30,500,0.01,0.0005,0.0001,2663.103271484375,-2663.103271484375,972.2530517578125,7.313976287841797,22.719453811645508,1512.928695678711,0.25677520433224615,-3.2547930736537456,187.91460132033,3.487830549478531,False
36,30,500,0.02,0.0,0.0,5247.0556640625,-5247.0556640625,1918.3701171875,0.0,0.0,3150.7696533203125,0.27578892943638994,-6.696468859719539,386.6170983028254,3.6589414370059967,False
36,30,500,0.02,0.0,1e-06,5247.953125,-5247.953125,1918.5169677734375,0.0,79.11939239501953,3151.5201416015625,0.2763937860899388,-6.698940050832814,386.76003668034053,3.6590648066997526,False
36,30,500,0.02,0.0,1e-05,5243.6279296875,-5243.6279296875,1917.32080078125,0.0,79.14482879638672,3148.3905181884766,0.27529802875851295,-6.688402741776307,386.1519394925708,3.6550978899002073,False
36,30,500,0.02,0.0,0.0001,5248.76953125,-5248.76953125,1919.4154052734375,0.0,79.08433532714844,3151.430404663086,0.2776773237714997,-6.702291498174905,386.95313463564906,3.6625951635837555,False
